Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.24     0.00   190390     0.00     0.00  std::__debug::vector<bool, std::allocator<bool> >::_M_base()
  0.00      0.24     0.00   190390     0.00     0.00  std::__debug::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.24     0.00   190390     0.00     0.00  std::__cxx1998::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.24     0.00   190390     0.00     0.00  std::__cxx1998::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.24     0.00   190390     0.00     0.00  std::__cxx1998::operator-(std::__cxx1998::_Bit_iterator_base const&, std::__cxx1998::_Bit_iterator_base const&)
  0.00      0.24     0.00   190390     0.00     0.00  std::__debug::vector<int, std::allocator<int> >* std::__addressof<std::__debug::vector<int, std::allocator<int> > >(std::__debug::vector<int, std::allocator<int> >&)
  0.00      0.24     0.00   190389     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<Tree, std::allocator<Tree> >, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::_Safe_vector()
  0.00      0.24     0.00   190389     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<int, std::allocator<int> >, std::__cxx1998::vector<int, std::allocator<int> > >::_M_update_guaranteed_capacity()
  0.00      0.24     0.00   190389     0.00     0.00  Tree::is_black()
  0.00      0.24     0.00   190389     0.00     0.00  Tree::Tree()
  0.00      0.24     0.00   190389     0.00     0.00  std::__debug::vector<Tree, std::allocator<Tree> >::vector()
  0.00      0.24     0.00   190389     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_Vector_impl::_Vector_impl()
  0.00      0.24     0.00   190389     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_Vector_base()
  0.00      0.24     0.00   190389     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::vector()
  0.00      0.24     0.00   190388     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_Vector_impl::_M_swap_data(std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_Vector_impl&)
  0.00      0.24     0.00   181656     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.24     0.00   181656     0.00     0.00  std::__cxx1998::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.24     0.00   181656     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.24     0.00   181656     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.24     0.00   172922     0.00     0.00  std::__cxx1998::_Vector_base<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::_M_get_Tp_allocator() const
  0.00      0.24     0.00   172922     0.00     0.00  std::__cxx1998::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.24     0.00   172922     0.00     0.00  std::__cxx1998::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::max_size() const
  0.00      0.24     0.00   172922     0.00     0.00  std::__cxx1998::vector<int, std::allocator<int> >::max_size() const
  0.00      0.24     0.00   172922     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00      0.24     0.00   172922     0.00     0.00  std::move_iterator<std::pair<long long, long long>*>::move_iterator(std::pair<long long, long long>*)
  0.00      0.24     0.00   172922     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.24     0.00   172922     0.00     0.00  std::allocator_traits<std::allocator<std::pair<long long, long long> > >::max_size(std::allocator<std::pair<long long, long long> > const&)
  0.00      0.24     0.00   172922     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.24     0.00   172922     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00      0.24     0.00   172922     0.00     0.00  std::move_iterator<std::pair<long long, long long>*> std::__make_move_if_noexcept_iterator<std::pair<long long, long long>*, std::move_iterator<std::pair<long long, long long>*> >(std::pair<long long, long long>*)
  0.00      0.24     0.00   172922     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00      0.24     0.00   172922     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.24     0.00   147523     0.00     0.00  bool std::operator==<std::pair<long long, long long>*>(std::move_iterator<std::pair<long long, long long>*> const&, std::move_iterator<std::pair<long long, long long>*> const&)
  0.00      0.24     0.00   147523     0.00     0.00  bool std::operator!=<std::pair<long long, long long>*>(std::move_iterator<std::pair<long long, long long>*> const&, std::move_iterator<std::pair<long long, long long>*> const&)
  0.00      0.24     0.00   142956     0.00     0.00  __gnu_cxx::__normal_iterator<Tree*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::__normal_iterator(Tree* const&)
  0.00      0.24     0.00   142956     0.00     0.00  __gnu_cxx::__normal_iterator<Tree*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::base() const
  0.00      0.24     0.00   142737     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >, std::__cxx1998::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > > >::_M_update_guaranteed_capacity()
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<long long, std::allocator<long long> >, std::__cxx1998::vector<long long, std::allocator<long long> > >::_Safe_vector(unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_debug::_Safe_sequence<std::__debug::vector<long long, std::allocator<long long> > >::_Safe_sequence()
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_debug::_Safe_sequence<std::__debug::vector<long long, std::allocator<long long> > >::~_Safe_sequence()
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_debug::_Safe_container<std::__debug::vector<long long, std::allocator<long long> >, std::allocator<long long>, __gnu_debug::_Safe_sequence, true>::_Safe_container()
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_debug::_Safe_container<std::__debug::vector<long long, std::allocator<long long> >, std::allocator<long long>, __gnu_debug::_Safe_sequence, true>::~_Safe_container()
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_cxx::new_allocator<long long>::deallocate(long long*, unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_cxx::new_allocator<long long>::allocate(unsigned long, void const*)
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_cxx::new_allocator<long long>::new_allocator(__gnu_cxx::new_allocator<long long> const&)
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_cxx::new_allocator<long long>::new_allocator()
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_cxx::new_allocator<long long>::max_size() const
  0.00      0.24     0.00   142629     0.00     0.00  std::allocator<long long>::allocator(std::allocator<long long> const&)
  0.00      0.24     0.00   142629     0.00     0.00  std::allocator<long long>::allocator()
  0.00      0.24     0.00   142629     0.00     0.00  std::_Iter_base<long long*, false>::_S_base(long long*)
  0.00      0.24     0.00   142629     0.00     0.00  void std::_Destroy_aux<true>::__destroy<long long*>(long long*, long long*)
  0.00      0.24     0.00   142629     0.00     0.00  std::allocator_traits<std::allocator<long long> >::deallocate(std::allocator<long long>&, long long*, unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  std::allocator_traits<std::allocator<long long> >::allocate(std::allocator<long long>&, unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  long long* std::__uninitialized_default_n_1<true>::__uninit_default_n<long long*, unsigned long>(long long*, unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  std::__debug::vector<long long, std::allocator<long long> >::vector(unsigned long, std::allocator<long long> const&)
  0.00      0.24     0.00   142629     0.00     0.00  std::__debug::vector<long long, std::allocator<long long> >::~vector()
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::_M_allocate(unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::_Vector_impl(std::allocator<long long> const&)
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::~_Vector_impl()
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::_M_deallocate(long long*, unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::_M_create_storage(unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::_Vector_base(unsigned long, std::allocator<long long> const&)
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::~_Vector_base()
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::vector<long long, std::allocator<long long> >::_M_default_initialize(unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::vector<long long, std::allocator<long long> >::vector(unsigned long, std::allocator<long long> const&)
  0.00      0.24     0.00   142629     0.00     0.00  std::__cxx1998::vector<long long, std::allocator<long long> >::~vector()
  0.00      0.24     0.00   142629     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<long long>::__value, long long*>::__type std::__fill_n_a<long long*, unsigned long, long long>(long long*, unsigned long, long long const&)
  0.00      0.24     0.00   142629     0.00     0.00  std::_Niter_base<long long*>::iterator_type std::__niter_base<long long*>(long long*)
  0.00      0.24     0.00   142629     0.00     0.00  long long* std::__uninitialized_default_n<long long*, unsigned long>(long long*, unsigned long)
  0.00      0.24     0.00   142629     0.00     0.00  long long* std::__uninitialized_default_n_a<long long*, unsigned long, long long>(long long*, unsigned long, std::allocator<long long>&)
  0.00      0.24     0.00   142629     0.00     0.00  long long* std::fill_n<long long*, unsigned long, long long>(long long*, unsigned long, long long const&)
  0.00      0.24     0.00   142629     0.00     0.00  void std::_Destroy<long long*>(long long*, long long*)
  0.00      0.24     0.00   142629     0.00     0.00  void std::_Destroy<long long*, long long>(long long*, long long*, std::allocator<long long>&)
  0.00      0.24     0.00   134004     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<long long, long long>*>(std::pair<long long, long long>*, std::pair<long long, long long>*)
  0.00      0.24     0.00   134004     0.00     0.00  std::__cxx1998::_Vector_base<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::_M_deallocate(std::pair<long long, long long>*, unsigned long)
  0.00      0.24     0.00   134004     0.00     0.00  void std::_Destroy<std::pair<long long, long long>*>(std::pair<long long, long long>*, std::pair<long long, long long>*)
  0.00      0.24     0.00   134004     0.00     0.00  void std::_Destroy<std::pair<long long, long long>*, std::pair<long long, long long> >(std::pair<long long, long long>*, std::pair<long long, long long>*, std::allocator<std::pair<long long, long long> >&)
