Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.82     0.00  6799727     0.00     0.00  bool __gnu_debug::_BeforeBeginHelper<std::__debug::vector<main::Query, std::allocator<main::Query> > >::_S_Is<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > > >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > > const&)
  0.00      0.82     0.00  6799727     0.00     0.00  bool __gnu_debug::_BeforeBeginHelper<std::__debug::vector<int, std::allocator<int> > >::_S_Is<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > > >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > > const&)
  0.00      0.82     0.00  6799727     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_dereferenceable() const
  0.00      0.82     0.00  6799727     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::_M_is_before_begin() const
  0.00      0.82     0.00  6490593     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::~_Safe_iterator()
  0.00      0.82     0.00  3007013     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::base()
  0.00      0.82     0.00  2390320     0.00     0.00  __gnu_cxx::__normal_iterator<main::Entry const*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > >::__normal_iterator(main::Entry const* const&)
  0.00      0.82     0.00  2390320     0.00     0.00  __gnu_cxx::__normal_iterator<main::Entry const*, std::__cxx1998::vector<main::Entry, std::allocator<main::Entry> > >::base() const
  0.00      0.82     0.00  2249240     0.00     0.00  std::remove_reference<main::Query&>::type&& std::move<main::Query&>(main::Query&)
  0.00      0.82     0.00  2249240     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
